activity_name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate_bpm,max_heartrate_bpm,achievement_count,kudos_count,comment_count,athlete_count,commute,gear_id,suffer_score,average_temp,start_data,distance_km
Evening Run,Run,12586.6,61:02,61:21,93,3.437,5.34,138.6,170,7,52,0,1,FALSE,g15257806,26,20,2025-05-02,12.5866
Morning Ride,Ride,4202.1,12:59,586:18,64,5.394,8.8,106.3,151,0,0,0,1,TRUE,b15178927,2,23,2025-05-02,4.202100000000001
LCCRC,Ride,28220.5,72:36,604:13,165,6.479,10.34,112.9,152,4,31,4,2,FALSE,b8218319,15,23,2025-05-01,28.2205
Back to it,Run,10931.1,55:38,56:15,51,3.275,4.7,139,160,3,55,0,1,FALSE,g15257806,22,23,2025-04-30,10.9311
Morning Ride,Ride,4124.3,13:07,608:01,43,5.241,9.26,104.5,138,0,0,0,1,TRUE,b15178927,2,26,2025-04-30,4.1243
Evening Ride,Ride,2037.6,08:58,09:36,13,3.787,8.48,95.6,115,0,0,0,1,TRUE,b15178927,1,28,2025-04-29,2.0376
London Marathon 🤩🤩🤩 2:43:42,Run,42272.6,163:32,163:46,148,4.302,15.3,174.6,196,0,168,44,176,FALSE,g19778329,505,25,2025-04-27,42.2726
Morning Ride,Ride,6640.4,31:24,662:30,77,3.525,8.583,96,132,1,1,0,1,FALSE,b15178927,4,23,2025-04-25,6.6404
LCCRC taper,Run,4106.3,22:34,23:17,46,3.033,6.15,130.6,157,1,32,0,2,FALSE,g15257806,7,22,2025-04-24,4.1063
Commute,Ride,2098.5,06:18,07:05,33,5.552,8.22,121.6,155,0,1,0,1,TRUE,b15178927,2,21,2025-04-24,2.0985
LCCRC (sans the inspiration),Run,12272,67:30,81:50,83,3.03,5,119.6,143,3,39,0,2,FALSE,g15257806,14,20,2025-04-23,12.272
Morning Ride,Ride,9348.9,33:35,532:14,103,4.64,9.55,111.4,131,5,1,0,2,TRUE,b15178927,6,22,2025-04-23,9.3489
Morning Swim,Swim,1975,31:12,42:21,0,1.055,1.94,140.2,172,0,23,2,1,FALSE,NA,52,NA,2025-04-23,1.975
Morning Ride,Ride,8231.3,27:30,52:29,106,4.989,9.86,124.2,155,6,0,0,1,TRUE,b15178927,8,20,2025-04-23,8.2313
Evening Run,Run,11088.7,56:16,63:08,42,3.285,4.94,138,154,9,43,0,1,FALSE,g15257806,20,20,2025-04-22,11.088700000000001
Morning Ride,Ride,5008.2,22:31,587:25,50,3.707,8.8,106.4,123,0,0,0,1,TRUE,b15178927,3,25,2025-04-22,5.0081999999999995
Tarleton to Penwortham,Run,14272.1,90:38,93:54,49,2.625,4.057,115.7,134,0,45,2,2,FALSE,g7496850,17,19,2025-04-21,14.2721
Afternoon Run,Run,12495.5,63:46,66:02,41,3.266,4.833,135.9,158,1,50,2,1,FALSE,g15257806,20,23,2025-04-20,12.4955
Colne-2-Coast!,Ride,110107,385:15,543:44,688,4.763,14.26,121.3,161,46,54,0,2,FALSE,b8218319,99,19,2025-04-19,110.107
Morning Ride,Ride,3265.3,17:12,31:03,33,3.164,8.8,93.6,125,0,0,0,1,TRUE,b15178927,2,20,2025-04-19,3.2653000000000003
‘Forest’ of Bowland (#1),Run,27028.1,226:18,231:14,1000,1.991,4.44,134.5,164,0,61,2,2,FALSE,g7496850,90,16,2025-04-18,27.0281
Morning Ride,Ride,2415.6,07:21,07:21,31,5.478,7.714,109.1,137,0,0,0,1,TRUE,b15178927,1,22,2025-04-18,2.4156
Evening Ride,Ride,2190.8,07:04,07:04,24,5.167,9.98,115.8,146,0,0,0,1,TRUE,b15178927,1,20,2025-04-17,2.1908000000000003
Intervals in the Park,Run,10501,45:21,52:54,68,3.859,6.48,150.9,185,2,49,2,1,FALSE,g21525952,52,19,2025-04-17,10.501
Morning Ride,Ride,2203.7,07:38,14:47,25,4.812,8.02,118,139,0,0,0,1,TRUE,b15178927,1,22,2025-04-17,2.2037
Morning Ride,Ride,4573.3,17:58,653:56,52,4.242,7.92,104.2,134,0,0,0,1,TRUE,b15178927,2,24,2025-04-16,4.573300000000001
