activity_name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_heartrate_bpm,max_heartrate_bpm,achievement_count,kudos_count,comment_count,athlete_count,commute,gear_id,suffer_score,average_temp,start_data,distance_km
Morning Ride,Ride,4855.2,13:13,13:13,55,6.123,10.63,97.5,121,4,16,0,1,TRUE,b8218320,1,17,2024-03-01,4.8552
Morning Yoga,Yoga,0,20:23,20:23,0,0,0,69,81,0,0,0,1,FALSE,NA,1,25,2024-03-01,0
Harriers Social,Run,16074.8,79:51,103:58,155,3.355,6.02,136.7,161,8,37,0,1,FALSE,g15257806,36,12,2024-02-29,16.0748
Afternoon Ride,Ride,4618.7,13:46,24:40,57,5.592,9.584,122.7,161,2,18,0,1,TRUE,b8218320,5,20,2024-02-29,4.6187
Morning Swim,Swim,2050,33:48,41:40,0,1.011,6.25,146,169,0,15,0,1,FALSE,NA,64,NA,2024-02-29,2.05
Morning Ride,Ride,4272.3,12:59,12:59,65,5.484,9.662,111.5,151,0,0,0,1,TRUE,b8218320,3,16,2024-02-29,4.2723
Morning Yoga,Yoga,0,23:02,23:02,0,0,0,70.5,92,0,0,0,1,FALSE,NA,1,27,2024-02-29,0
Night Ride,Ride,3658.2,09:52,09:52,35,6.179,9.453,118.1,154,0,13,0,1,TRUE,b8218320,2,20,2024-02-28,3.6582
Morning Swim,Swim,1125,18:44,26:21,0,1.001,1.192,129.4,149,0,11,0,1,FALSE,NA,12,NA,2024-02-28,1.125
Morning Ride,Ride,4797.4,14:25,15:27,49,5.546,8.956,91.3,125,4,13,2,1,TRUE,b8218320,1,16,2024-02-28,4.7974
Morning Yoga,Yoga,0,25:02,25:02,0,0,0,64.8,103,0,0,0,1,FALSE,NA,1,27,2024-02-28,0
MH Fartlek+,Run,15164.9,76:04,93:05,157,3.323,6.934,145,180,9,31,0,2,FALSE,g15257806,60,14,2024-02-27,15.1649
Morning Yoga,Yoga,0,22:26,22:26,0,0,0,71.3,89,0,0,0,1,FALSE,NA,1,27,2024-02-27,0
Afternoon Run,Run,5173.2,26:03,28:16,83,3.31,5.066,140.9,162,6,20,0,1,FALSE,g8011089,15,23,2024-02-26,5.1732
Morning Yoga,Yoga,0,20:40,20:40,0,0,0,74.4,95,0,0,0,1,FALSE,NA,1,27,2024-02-26,0
Afternoon Run,Run,21092.9,100:25,102:23,170,3.501,6.233,145.5,182,32,41,0,1,FALSE,g8011089,79,15,2024-02-25,21.0929
Morning Hike,Hike,20341.3,265:31,311:44,609,1.277,2.726,82.9,122,0,26,0,1,FALSE,g12684381,27,23,2024-02-24,20.3413
Morning Yoga,Yoga,0,20:32,20:32,0,0,0,69.6,91,0,0,0,1,FALSE,NA,1,26,2024-02-23,0
Night Ride,Ride,5813.8,16:00,26:45,68,6.056,8.999,98.3,121,2,17,0,1,TRUE,b8218320,2,19,2024-02-22,5.8138000000000005
GOAT running in Helensburgh,Run,10413.6,85:10,128:04,406,2.038,4.652,139.6,180,0,46,0,2,FALSE,g6883995,49,15,2024-02-22,10.4136
Morning Ride,Ride,6505,18:46,470:15,44,5.777,9.458,148.7,230,3,10,0,1,TRUE,b8218320,22,19,2024-02-22,6.505
Morning Yoga,Yoga,0,24:18,24:18,0,0,0,69.9,90,0,0,0,1,FALSE,NA,1,28,2024-02-22,0
Evening Run,Run,13475.2,67:43,68:03,109,3.317,9.736,143.9,162,3,33,0,1,FALSE,g8011089,49,15,2024-02-21,13.475200000000001
MH Fartlek,Run,10853.7,57:22,71:39,103,3.153,6.815,145.9,180,8,27,0,2,FALSE,g8011089,46,14,2024-02-20,10.8537
Afternoon Ride,Ride,8153.5,24:08,44:04,92,5.631,10.012,118.9,147,0,16,0,1,TRUE,b8218320,5,22,2024-02-20,8.1535
Morning Yoga,Yoga,0,24:39,24:39,0,0,0,65.1,96,0,0,0,1,FALSE,NA,1,27,2024-02-20,0
Morning Ride,Ride,9271.5,31:49,206:08,72,4.857,10.297,104.9,154,0,18,0,1,TRUE,b8218320,6,24,2024-02-19,9.2715
Morning Run,Run,7786.4,38:17,38:21,77,3.39,5.882,140.2,159,1,23,0,1,FALSE,g8011089,19,17,2024-02-19,7.7863999999999995
Morning Yoga,Yoga,0,24:37,24:37,0,0,0,69.7,95,0,0,0,1,FALSE,NA,1,26,2024-02-19,0
Afternoon Yoga,Yoga,0,19:25,19:25,0,0,0,74.4,93,0,0,0,1,FALSE,NA,1,28,2024-02-18,0
Evening Ride,Ride,9332.1,29:20,30:43,98,5.302,8.906,121.1,151,8,13,0,1,TRUE,b8218320,8,16,2024-02-17,9.3321
Southside 6,Run,30589.4,195:20,453:36,502,2.61,6.274,144.6,180,3,52,0,6,FALSE,g7747260,159,21,2024-02-17,30.5894
Lunch Ride,Ride,9337.8,25:29,26:47,79,6.107,10.048,134.5,161,7,12,0,1,TRUE,b8218320,15,20,2024-02-17,9.3378
Morning Yoga,Yoga,0,21:48,21:48,0,0,0,72,93,0,0,0,1,FALSE,NA,1,27,2024-02-17,0
Lunch Ride,Ride,36245,114:50,531:08,365,5.261,9.444,112.9,150,17,26,0,1,TRUE,b8218320,24,24,2024-02-16,36.245
Morning Yoga,Yoga,0,18:12,18:12,0,0,0,73.5,99,0,0,0,1,FALSE,NA,1,27,2024-02-16,0
Maryhill Harrier run,Run,10181.9,49:48,58:07,138,3.408,5.209,152.6,183,8,34,0,2,FALSE,g8011089,64,20,2024-02-15,10.181899999999999
Morning Ride,Ride,9081.6,27:55,494:55,89,5.422,8.824,106.3,150,0,18,0,1,TRUE,b8218320,5,22,2024-02-15,9.0816
Morning Yoga,Yoga,0,21:06,21:06,0,0,0,74.1,92,0,0,0,1,FALSE,NA,1,26,2024-02-15,0
Afternoon Ride,Ride,4850.9,16:32,54:01,65,4.89,8.228,120.7,150,0,11,0,1,TRUE,b8218320,4,21,2024-02-14,4.850899999999999
Afternoon Swim,Swim,2200,37:22,43:06,0,0.981,1.316,154.7,179,0,13,0,1,FALSE,NA,98,NA,2024-02-14,2.2
Afternoon Ride,Ride,4854.6,13:16,14:15,47,6.099,9.056,117.2,143,6,12,0,1,TRUE,b8218320,2,20,2024-02-14,4.8546000000000005
Taking out the recycling,Run,4429.9,21:47,24:45,108,3.389,4.756,151.5,180,7,23,0,1,FALSE,g8011089,27,15,2024-02-13,4.4299
Morning Yoga,Yoga,0,20:14,20:14,0,0,0,77.3,98,0,0,0,1,FALSE,NA,1,27,2024-02-13,0
Evening Ride,Ride,5523.8,17:58,92:08,59,5.124,9.01,117.2,144,4,12,0,1,TRUE,b8218320,3,20,2024-02-12,5.5238000000000005
Morning Run,Run,7732.3,38:11,38:11,74,3.375,5.298,159.1,172,3,29,0,1,FALSE,g15257806,67,16,2024-02-12,7.7323
Morning Yoga,Yoga,0,26:19,26:19,0,0,0,70.6,92,0,0,0,1,FALSE,NA,1,27,2024-02-12,0
Afternoon Ride,Ride,4733.3,14:42,15:02,56,5.367,9.278,113.3,129,5,0,0,1,TRUE,b8218320,2,21,2024-02-11,4.7333
Morning Yoga,Yoga,0,20:34,20:34,0,0,0,78.3,101,0,0,0,1,FALSE,NA,1,27,2024-02-11,0
Lunch Ride,Ride,5517,18:17,18:17,113,5.029,8.33,120.6,140,5,14,0,1,TRUE,b8218320,4,16,2024-02-10,5.517
Victoria Parkrun,Run,5049.7,34:50,35:08,23,2.416,3.582,128.3,151,9,28,0,9,FALSE,g15257806,10,21,2024-02-10,5.0497
Morning Ride,Ride,5439.8,15:58,16:19,37,5.678,9.39,119.5,137,0,8,0,1,TRUE,b8218320,3,16,2024-02-10,5.4398
Morning Yoga,Yoga,0,26:10,26:10,0,0,0,79.5,102,0,0,0,1,FALSE,NA,2,27,2024-02-10,0
Yoga Challenge day 3,Yoga,0,20:23,20:23,0,0,0,78.5,109,0,12,0,1,FALSE,NA,1,26,2024-02-09,0
Harriers Run,Run,11203.5,57:34,69:21,148,3.244,5.008,146.1,179,3,29,0,5,FALSE,g15257806,50,11,2024-02-08,11.2035
Morning Ride,Ride,9772,28:18,525:34,104,5.755,9.978,110.9,127,5,9,0,1,TRUE,b8218320,5,15,2024-02-08,9.772
Morning Yoga,Yoga,0,37:42,37:42,0,0,0,68.2,101,0,0,0,1,FALSE,NA,2,26,2024-02-08,0
Lunch Ride,Ride,13123.6,43:34,193:03,157,5.021,9.233,119.4,158,11,18,0,1,TRUE,b8218320,12,19,2024-02-07,13.1236
Yoga day 1,Yoga,0,23:42,23:42,0,0,0,76.4,98,0,10,0,1,FALSE,NA,2,25,2024-02-07,0
Morning Alpine Ski,AlpineSki,33716.3,84:10,395:25,0,6.676,19.128,123.9,154,19,20,1,2,FALSE,NA,22,28,2024-02-04,33.716300000000004
Morning Alpine Ski,AlpineSki,25646,66:25,382:07,0,6.436,18.414,108.2,150,6,31,0,1,FALSE,NA,11,26,2024-02-03,25.646
A race up to the bar 🏆,Run,1566.7,19:06,19:07,262,1.367,3.988,169.8,179,0,14,0,1,FALSE,g15257806,49,19,2024-02-02,1.5667
"Up then down, then up again, then down",AlpineSki,28591.2,81:08,427:14,0,5.873,21.182,131.3,166,5,23,0,2,FALSE,NA,34,28,2024-02-02,28.5912
Yoga Flow Day 30!,Yoga,0,24:40,24:40,0,0,0,77.4,95,0,16,0,1,FALSE,NA,2,26,2024-01-31,0
Pollution monitoring 2,Ride,31218.5,154:43,215:49,512,3.363,10.584,122.3,162,6,29,0,1,TRUE,b8218320,43,18,2024-01-31,31.2185
Evening Ride,Ride,4192.8,12:07,12:26,40,5.767,9.006,112.5,144,2,17,0,1,TRUE,b8218320,2,18,2024-01-30,4.1928
Lunch Swim,Swim,7175,35:41,51:43,0,3.351,25,144.1,172,0,17,1,1,FALSE,NA,71,NA,2024-01-30,7.175
Lunch Ride,Ride,4597.6,12:46,12:46,49,6.002,9.47,111.3,124,0,12,0,1,TRUE,b8218320,2,16,2024-01-30,4.597600000000001
Morning Yoga,Yoga,0,25:55,25:55,0,0,0,72.7,96,0,0,0,1,FALSE,NA,2,27,2024-01-30,0
Glengoyne Distillery,Ride,40971.9,90:09,106:41,511,7.575,16.667,153.9,175,41,37,0,1,FALSE,b8218319,131,14,2024-01-29,40.9719
Morning Yoga,Yoga,0,22:26,22:26,0,0,0,65.1,85,0,0,0,1,FALSE,NA,1,28,2024-01-29,0
Lunch Run,Run,8110.9,40:03,40:17,80,3.375,6.263,153.9,176,7,26,0,1,FALSE,g15257806,56,18,2024-01-28,8.1108999999999991
Morning Yoga,Yoga,0,20:57,20:57,0,0,0,66.6,98,0,0,0,1,FALSE,NA,1,27,2024-01-28,0
Afternoon Yoga,Yoga,0,24:10,24:10,0,0,0,76.5,96,0,0,0,1,FALSE,NA,2,27,2024-01-27,0
Morning Ride,Ride,10942.5,32:00,65:12,145,5.699,10.086,112.1,138,1,20,0,1,TRUE,b8218320,6,19,2024-01-27,10.9425
Pollution monitoring!,Ride,31608.5,117:56,131:27,411,4.467,8.615,111.9,149,43,31,0,1,TRUE,b8218320,23,18,2024-01-27,31.6085
Morning Ride,Ride,5987.1,17:28,42:05,86,5.713,9.656,89.7,105,1,0,0,1,FALSE,b8218320,2,16,2024-01-27,5.987100000000001
Yoga Challenge Day 25!,Yoga,0,22:52,22:52,0,0,0,83.4,112,0,14,0,1,FALSE,NA,2,28,2024-01-26,0
Harriers Hills,Run,11718.9,62:35,131:56,204,3.121,5.074,143.4,186,5,28,0,4,FALSE,g15257806,48,19,2024-01-25,11.7189
Morning Ride,Ride,8656.2,24:20,409:00,69,5.929,9.868,115,159,5,1,0,1,TRUE,b8218320,6,22,2024-01-25,8.6562
Morning Yoga,Yoga,0,25:12,25:12,0,0,0,62.6,85,0,0,0,1,FALSE,NA,1,26,2024-01-25,0
Morning Ride,Ride,8950,26:33,320:19,144,5.618,10.045,125.7,162,3,0,0,1,TRUE,b8218320,9,18,2024-01-24,8.95
Morning Yoga,Yoga,0,24:29,24:29,0,0,0,73,105,0,0,0,1,FALSE,NA,1,27,2024-01-24,0
Morning Yoga,Yoga,0,17:12,17:12,0,0,0,70,83,0,0,0,1,FALSE,NA,1,27,2024-01-23,0
Hill w/Westies (but not actually with them 😂),Run,7931,38:25,47:32,214,3.441,5.322,154.5,180,11,26,0,1,FALSE,g12684381,55,16,2024-01-22,7.931
Morning Ride,Ride,11515.9,35:46,325:16,171,5.366,28.319,107.7,143,2,0,0,1,TRUE,b8218320,6,20,2024-01-22,11.5159
Morning Yoga,Yoga,0,21:04,21:04,0,0,0,70.8,91,0,0,0,1,FALSE,NA,1,28,2024-01-22,0
Morning Yoga,Yoga,0,20:36,20:36,0,0,0,67,90,0,0,0,1,FALSE,NA,1,26,2024-01-21,0
Afternoon Yoga,Yoga,0,25:56,25:56,0,0,0,82.6,103,0,0,0,1,FALSE,NA,2,26,2024-01-20,0
Let’s Offroad,Run,21103.2,115:45,130:42,166,3.039,4.714,144.9,161,3,46,0,1,FALSE,g14852944,96,16,2024-01-20,21.1032
Cort Ma Law (real name),Run,9596.1,63:21,75:01,432,2.525,4.785,140.1,163,0,31,0,2,FALSE,g7747260,40,12,2024-01-19,9.5961
Morning Yoga,Yoga,0,19:56,19:56,0,0,0,71.7,93,0,0,0,1,FALSE,NA,1,27,2024-01-19,0
Run with Maryhill Harriers!,Run,7726.7,48:38,59:01,116,2.648,4.23,146.7,165,1,40,0,4,FALSE,g15257806,43,10,2024-01-18,7.7267
Morning Ride,Ride,8993.9,25:51,484:57,83,5.799,10.735,130.4,155,1,0,0,1,TRUE,b8218320,10,15,2024-01-18,8.9939
Morning Yoga,Yoga,0,23:28,23:28,0,0,0,78.2,109,0,0,0,1,FALSE,NA,2,26,2024-01-18,0
Afternoon Ride,Ride,15938.7,50:20,199:05,170,5.278,9.048,126.1,151,13,0,0,1,TRUE,b8218320,14,10,2024-01-17,15.9387
Afternoon Run,Run,12035.9,61:43,73:46,51,3.25,4.622,151.2,167,1,29,3,1,FALSE,g14852944,81,12,2024-01-17,12.0359
Morning Yoga,Yoga,0,19:34,19:34,0,0,0,68.7,84,0,0,0,1,FALSE,NA,1,26,2024-01-17,0
Afternoon Ride,Ride,19753.9,57:04,415:27,171,5.769,10.148,108.4,158,24,0,0,1,TRUE,b8218320,11,16,2024-01-16,19.7539
Morning Yoga,Yoga,0,22:51,22:51,0,0,0,78.5,104,0,0,0,1,FALSE,NA,2,27,2024-01-16,0
Afternoon Run,Run,13286.9,67:43,68:18,211,3.27,5.902,156,179,5,32,0,1,FALSE,g14852944,109,10,2024-01-15,13.2869
Lunch Ride,Ride,4342.3,13:22,15:12,52,5.414,8.949,114.4,139,1,0,0,1,TRUE,b8218320,2,14,2024-01-15,4.3423
Morning Ride,Ride,4453.2,12:54,13:15,25,5.754,9.222,124.5,145,0,0,0,1,FALSE,b8218320,3,21,2024-01-15,4.4532
Morning Yoga,Yoga,0,26:21,26:21,0,0,0,70.1,104,0,0,0,1,FALSE,NA,1,27,2024-01-15,0
Morning Yoga,Yoga,0,22:02,22:02,0,0,0,61.7,98,0,0,0,1,FALSE,NA,1,27,2024-01-14,0
Afternoon Ride,Ride,9047.7,27:43,171:38,90,5.441,9.39,121.1,147,4,0,0,1,TRUE,b8218320,7,18,2024-01-13,9.0477
Happy Place,Run,27925.2,162:31,166:16,650,2.864,5.616,154.3,182,16,54,2,1,FALSE,g6883995,226,12,2024-01-13,27.9252
Morning Yoga,Yoga,0,18:05,18:05,0,0,0,75.9,96,0,0,0,1,FALSE,NA,1,27,2024-01-13,0
Lunch Ride,Ride,12228.5,33:56,81:04,123,6.006,9.57,99.6,126,8,0,0,1,TRUE,b8218320,4,17,2024-01-12,12.2285
Morning Yoga,Yoga,0,17:28,17:28,0,0,0,67.8,116,0,0,0,1,FALSE,NA,1,27,2024-01-12,0
Evening Ride,Ride,4491.7,12:35,12:35,37,5.949,8.576,143.2,170,1,0,0,1,TRUE,b8218320,11,14,2024-01-11,4.4917
GOAT running in Croy,Run,11799.5,76:45,83:00,277,2.562,4.054,135.7,168,2,29,0,3,FALSE,g6883995,36,16,2024-01-11,11.7995
Morning Ride,Ride,6185.2,17:22,461:12,38,5.936,9.409,106.6,145,2,0,0,1,TRUE,b8218320,3,23,2024-01-11,6.1852
Morning Yoga,Yoga,0,23:16,23:16,0,0,0,77,106,0,0,0,1,FALSE,NA,2,26,2024-01-11,0
Afternoon Ride,Ride,20961.6,64:04,304:07,165,5.453,9.886,104.4,157,29,0,0,1,TRUE,b8218320,12,19,2024-01-10,20.961599999999997
To Cafe O!,Run,9140.6,46:47,52:26,59,3.256,5.49,149,170,2,29,0,1,FALSE,g14852944,50,15,2024-01-10,9.140600000000001
Morning Yoga,Yoga,0,23:35,23:35,0,0,0,73.8,108,0,0,0,1,FALSE,NA,1,26,2024-01-10,0
Beaut,Run,13668.2,71:51,74:49,206,3.171,5.574,157.2,181,5,39,0,1,FALSE,g14852944,122,18,2024-01-09,13.6682
Morning Yoga,Yoga,0,23:00,23:00,0,0,0,79.6,110,0,0,0,1,FALSE,NA,2,27,2024-01-09,0
Morning Ride,Ride,13789.6,46:47,441:05,90,4.913,10.45,121.3,165,11,0,0,1,TRUE,b8218320,14,20,2024-01-08,13.7896
Morning Yoga,Yoga,0,20:52,20:52,0,0,0,71.1,94,0,0,0,1,FALSE,NA,1,26,2024-01-08,0
Afternoon Run,Run,13726,62:23,63:25,105,3.667,5.075,169.1,183,2,38,0,1,FALSE,g14852944,163,10,2024-01-07,13.726
Lunch Yoga,Yoga,0,19:25,19:25,0,0,0,66.8,89,0,0,0,1,FALSE,NA,1,25,2024-01-07,0
Sunrise on Ben Lomond,Hike,24932.4,422:39,483:33,1440,0.983,3.553,NA,NA,0,47,3,2,FALSE,g9838455,119,NA,2024-01-06,24.9324
Afternoon Ride,Ride,13414,39:12,66:07,106,5.703,9.288,108.6,135,14,0,0,1,TRUE,b8218320,6,19,2024-01-05,13.414
Zwift - Mountain Route in Watopia,VirtualRide,14613.7,44:52,44:52,436,5.429,17.69,146.6,174,0,16,0,1,FALSE,b8218319,46,NA,2024-01-04,14.613700000000001
Lunch Yoga,Yoga,0,20:49,20:49,0,0,0,74.2,92,0,0,0,1,FALSE,NA,1,26,2024-01-04,0
Evening Ride,Ride,21502.9,66:46,965:52,172,5.368,10.507,121.1,170,20,0,0,1,TRUE,b8218320,19,20,2024-01-03,21.5029
Afternoon Yoga,Yoga,0,21:17,21:17,0,0,0,76,101,0,0,0,1,FALSE,NA,1,25,2024-01-03,0
Morning Yoga,Yoga,0,24:38,24:38,0,0,0,68.3,90,0,0,0,1,FALSE,NA,1,28,2024-01-03,0
HNY 🥂🤩,Run,6979.5,39:33,41:56,87,2.941,6.288,150.5,174,2,34,0,1,FALSE,g7158509,50,15,2024-01-01,6.9795
Amazing morning run,Run,19057.1,108:28,146:31,208,2.928,6.78,148.7,191,13,51,8,1,FALSE,g15257806,120,10,2023-12-30,19.0571
Morning Ride,Ride,5989.2,17:09,19:54,70,5.82,9.756,125,145,4,0,0,1,TRUE,b8218320,4,20,2023-12-29,5.989199999999999
Evening Ride,Ride,5131,15:16,16:20,57,5.602,10.516,103.4,125,1,0,0,1,TRUE,b8218320,2,17,2023-12-28,5.131
Morning Ride,Ride,10887,25:17,128:19,76,7.177,10.659,132.5,173,1,0,0,1,FALSE,b8218320,13,17,2023-12-23,10.887
Afternoon Ride,Ride,3624.6,10:36,10:36,42,5.699,9.821,113.7,136,2,0,0,1,FALSE,b8218320,2,20,2023-12-21,3.6246
Lunch Yoga,Yoga,0,10:50,10:50,0,0,0,83.1,99,0,0,0,1,FALSE,NA,1,25,2023-12-21,0
Morning Run,Run,10639.2,57:25,62:51,174,3.088,5.12,150.1,175,3,36,0,1,FALSE,g14852944,65,17,2023-12-21,10.6392
Afternoon Ride,Ride,3979.8,11:16,11:40,34,5.887,8.638,121.3,149,1,0,0,1,FALSE,b8218320,3,22,2023-12-20,3.9798
Morning Swim,Swim,2000,33:25,39:02,0,0.998,1.25,150.1,177,0,13,0,1,FALSE,NA,71,NA,2023-12-20,2
Morning Ride,Ride,4997.1,14:39,15:30,51,5.685,9.316,115.3,155,7,0,0,1,FALSE,b8218320,3,18,2023-12-20,4.9971000000000005
Lunch Run,Run,8563.9,46:16,48:44,126,3.085,5.062,144.9,170,2,32,0,1,FALSE,g14852944,35,16,2023-12-19,8.5639
Morning Ride,Ride,6646.4,22:10,23:00,78,4.997,8.484,111.3,150,4,0,0,1,FALSE,b8218320,4,20,2023-12-19,6.6464
Evening Ride,Ride,6092.2,17:44,19:43,38,5.726,9.748,113.2,128,4,0,0,1,FALSE,b8218320,3,19,2023-12-18,6.0922
Morning Yoga,Yoga,0,20:26,20:26,0,0,0,72.7,94,0,0,0,1,FALSE,NA,1,28,2023-12-18,0
Lunch Run,Run,7281.8,37:52,38:25,92,3.205,7.114,153.5,170,14,25,0,1,FALSE,g15257806,55,18,2023-12-17,7.2818000000000005
Morning Swim (16:36),Swim,1400,22:36,26:06,0,1.032,1.316,141.3,173,0,6,0,1,FALSE,NA,31,NA,2023-12-17,1.4
Morning Run,Run,5928.4,30:05,30:10,79,3.284,6.095,155.7,176,17,10,0,1,FALSE,g15257806,47,16,2023-12-17,5.9284
Morning Yoga,Yoga,0,17:05,17:05,0,0,0,83.6,112,0,0,0,1,FALSE,NA,1,27,2023-12-17,0
Evening Ride,Ride,8435,27:27,212:58,80,5.121,9.904,118.7,155,2,0,0,1,TRUE,b8218320,7,23,2023-12-16,8.435
Afternoon Ride,Ride,10315.3,32:20,138:20,119,5.317,9.689,113.8,136,6,0,0,1,FALSE,b8218320,6,17,2023-12-15,10.315299999999999
Morning Run,Run,6979.6,39:01,39:07,41,2.981,4.54,141.1,164,0,16,0,1,FALSE,g14852944,26,16,2023-12-15,6.9796000000000005
Afternoon Ride,Ride,4659.4,13:28,27:55,46,5.767,10.032,137,155,1,0,0,1,FALSE,b8218320,8,22,2023-12-14,4.6594
Lunch Swim,Swim,2600,43:24,50:54,0,0.998,1.25,152.9,181,0,11,0,1,FALSE,NA,107,NA,2023-12-14,2.6
Lunch Ride,Ride,7412,20:53,21:10,44,5.915,9.25,113.8,161,2,0,0,1,FALSE,b8218320,5,22,2023-12-14,7.412
Morning Ride,Ride,9782.6,23:36,23:36,77,6.909,11.052,133.4,180,13,12,0,1,FALSE,b8218320,19,16,2023-12-14,9.7826
Afternoon Ride,Ride,12224.4,39:12,384:25,103,5.197,8.72,122,150,7,0,0,1,FALSE,b8218320,10,20,2023-12-13,12.2244
Morning Yoga,Yoga,0,21:46,21:46,0,0,0,77.6,103,0,0,0,1,FALSE,NA,1,28,2023-12-13,0
Up the Whangie,Run,7315.6,60:23,64:43,305,2.019,3.583,131.4,155,0,29,0,2,FALSE,g6883995,19,19,2023-12-12,7.315600000000001
Morning Ride,Ride,8587.9,22:42,126:37,95,6.305,9.672,106,131,9,0,0,1,TRUE,b8218320,3,18,2023-12-12,8.5879
Morning Ride,Ride,8734.2,25:16,209:48,105,5.761,9.477,105.9,136,6,0,0,1,TRUE,b8218320,4,18,2023-12-06,8.734200000000001
Lunch Ride,Ride,5252.4,18:33,20:58,46,4.719,9.1,126.1,162,2,0,0,1,TRUE,b8218320,8,21,2023-12-05,5.2524
Morning Swim,Swim,2000,33:00,46:36,0,1.01,5.208,139.3,165,0,13,0,1,FALSE,NA,56,NA,2023-12-05,2
Morning Ride,Ride,4979.6,14:07,16:06,39,5.879,9.29,128.8,158,2,0,0,1,TRUE,b8218320,6,18,2023-12-05,4.9796000000000005
Morning Yoga,Yoga,0,22:39,22:39,0,0,0,68.1,91,0,0,0,1,FALSE,NA,1,27,2023-12-04,0
Afternoon Swim,Swim,3000,48:30,59:40,0,1.031,1.316,147.2,177,0,12,0,1,FALSE,NA,99,NA,2023-12-03,3
Morning Ride,Ride,4919.7,13:59,13:59,48,5.864,9.779,122,140,3,0,0,1,TRUE,b8218320,3,17,2023-12-03,4.9197
Afternoon Ride,Ride,4817.7,13:26,13:26,43,5.977,9.396,135.4,163,6,0,0,1,TRUE,b8218320,8,24,2023-12-01,4.817699999999999
Lunch Swim,Swim,2000,32:42,38:47,0,1.019,1.192,140.4,173,0,19,0,1,FALSE,NA,51,NA,2023-12-01,2
Morning Ride,Ride,4421,12:08,26:10,40,6.073,10.468,132,154,2,0,0,1,FALSE,b8218320,5,18,2023-12-01,4.421
Morning Yoga,Yoga,0,27:37,27:37,0,0,0,66.6,90,0,0,0,1,FALSE,NA,1,26,2023-12-01,0
Lunch Ride,Ride,19734.9,63:08,282:35,198,5.21,8.992,109.6,150,10,0,0,1,TRUE,b8218320,11,19,2023-11-30,19.734900000000003
Night Ride,Ride,11145.7,35:19,36:09,66,5.26,7.543,130.6,154,17,0,0,1,FALSE,b8218320,14,22,2023-11-29,11.145700000000001
Evening Run,Run,9823.9,52:53,53:24,176,3.096,6.262,152.5,176,5,22,0,2,FALSE,g14852944,71,14,2023-11-29,9.8239
Morning Ride,Ride,20539.3,65:31,537:38,209,5.225,9.16,107.8,171,17,0,0,1,FALSE,b8218320,15,16,2023-11-29,20.5393
Morning Yoga,Yoga,0,15:48,15:48,0,0,0,60.2,75,0,0,0,1,FALSE,NA,0,25,2023-11-29,0
Lunch Ride,Ride,21558.8,74:24,245:33,182,4.829,9.996,120,152,10,0,0,1,TRUE,b8218320,18,18,2023-11-28,21.558799999999998
Morning Ride,Ride,14261.3,45:45,967:45,150,5.195,10.154,124.1,155,9,0,0,1,TRUE,b8218320,15,15,2023-11-27,14.261299999999999
Morning Yoga,Yoga,0,26:05,26:05,0,0,0,69.2,96,0,0,0,1,FALSE,NA,1,27,2023-11-26,0
Longer way home,Run,8438.4,41:49,46:28,81,3.363,7.38,148,164,6,32,0,1,FALSE,g8011089,45,13,2023-11-25,8.4384
Victoria Parkrun (18:10),Run,5039.1,18:07,18:10,26,4.636,5.778,176,186,24,41,0,11,FALSE,g8011089,61,10,2023-11-25,5.0391
Morning Run,Run,5474.7,26:49,26:52,69,3.403,4.597,143.9,161,2,23,0,1,FALSE,g8011089,21,9,2023-11-25,5.4746999999999995
Morning Yoga,Yoga,0,21:00,21:00,0,0,0,71,90,0,0,0,1,FALSE,NA,1,26,2023-11-25,0
Afternoon Ride,Ride,9165.9,32:34,41:55,98,4.691,9.505,127.5,151,6,0,0,1,FALSE,b8218320,11,18,2023-11-24,9.165899999999999
Lunch Swim,Swim,1600,25:41,31:34,0,1.038,3.126,138.7,177,0,14,0,1,FALSE,NA,38,NA,2023-11-24,1.6
Morning Ride,Ride,4009.7,11:49,11:49,57,5.655,10.164,100.2,120,4,0,0,1,TRUE,b8218320,1,18,2023-11-24,4.0097
Morning Yoga,Yoga,0,20:39,20:39,0,0,0,65.8,100,0,0,0,1,FALSE,NA,1,26,2023-11-24,0
Evening Ride,Ride,5736.8,16:35,21:55,62,5.766,8.892,139.4,163,6,0,0,1,TRUE,b8218320,13,22,2023-11-23,5.736800000000001
Owd Kilpatrick w/ GOAT,Run,9771.4,70:52,77:32,483,2.298,6.347,135.1,171,11,37,0,1,FALSE,g14852944,38,10,2023-11-23,9.7714
Afternoon Ride,Ride,5540.4,17:48,227:10,64,5.188,10.808,124.7,210,4,0,0,1,TRUE,b8218320,10,20,2023-11-23,5.5404
Morning Yoga,Yoga,0,21:34,21:34,0,0,0,79.2,98,0,0,0,1,FALSE,NA,2,27,2023-11-23,0
Night Ride,Ride,9806.2,34:22,34:22,134,4.756,8.111,129.5,185,16,0,0,1,FALSE,b8218320,25,21,2023-11-22,9.8062
Pollok Park w/ Elspath,Run,12774.1,67:04,68:39,161,3.174,4.918,151,168,0,29,0,2,FALSE,g14852944,78,22,2023-11-22,12.7741
